neighbourhood_group,neighbourhood,room_type,minimum_nights,price
2,46,1,1,89
1,19,0,3,160
1,19,1,4,150
0,10,1,2,139
0,20,1,1,379
2,44,1,8,350
1,23,0,1,128
2,106,0,1,55
1,7,1,2,230
1,18,0,1,48
0,6,0,2,50
0,6,0,1,55
0,21,2,30,0
2,56,1,2,170
1,7,1,3,135
1,11,1,5,110
0,6,1,2,126
1,8,0,2,85
4,66,0,2,44
1,2,1,1,120
2,25,0,15,79
0,6,0,10,55
1,2,1,4,95
1,27,1,2,200
0,54,0,1,20
1,4,1,3,250
2,103,0,1,40
1,7,1,4,179
1,8,0,1,70
2,152,1,1,50
1,30,0,2,55
1,7,1,1,209
0,6,1,5,185
0,12,1,2,230
1,14,1,4,125
0,147,0,1,39
0,6,0,30,50
2,61,1,2,150
0,12,0,3,65
1,14,1,5,180
1,8,1,5,200
1,23,1,5,250
0,70,0,2,50
1,43,0,4,99
0,16,1,5,150
1,8,1,14,130
0,20,0,2,55
1,28,1,2,89
0,24,0,30,30
1,1,0,1,100
1,8,1,1,200
0,10,1,5,375
2,83,0,2,50
4,141,0,1,60
1,28,1,3,179
4,156,2,10,20
2,56,0,1,74
3,93,1,1,70
1,1,0,1,450
0,15,0,4,42
0,21,0,1,40
0,21,2,5,54
0,6,1,3,150
1,14,0,1,2010
0,3,0,1,85
2,56,0,30,38
2,118,0,5,50
0,20,1,2,122
0,22,1,1,89
2,116,0,7,65
0,12,0,3,52
1,19,0,4,79
0,21,0,2,53
1,2,1,5,140
0,12,0,2,95
0,20,0,1,37
1,2,1,3,120
0,54,0,7,42
1,4,0,1,62
4,169,0,3,60
1,1,0,3,300
2,162,2,2,25
1,4,0,2,90
1,1,1,1,122
1,19,1,1,200
1,2,0,4,85
3,185,0,30,40
0,12,0,1,79
0,12,0,2,65
0,15,1,5,105
1,68,1,1,399
0,12,1,7,122
4,142,0,2,125
0,21,1,2,160
1,7,1,2,250
0,6,1,4,135
1,14,1,3,380
0,12,1,2,262
1,19,0,2,119
0,21,0,2,53
0,113,1,7,123
1,5,1,29,200
1,7,1,5,200
0,21,0,1,38
0,84,0,3,115
2,31,2,2,65
1,8,0,3,156
0,16,0,1,60
1,7,1,3,175
2,37,0,3,40
2,31,0,1,55
1,4,1,1,120
0,12,1,2,300
0,15,1,3,100
1,8,1,31,136
1,71,0,1,199
4,114,2,1,28
0,6,0,1,100
0,17,0,1,59
0,70,0,7,35
1,8,1,2,100
1,19,1,7,199
2,49,0,1,175
1,68,1,2,340
0,54,1,3,115
0,21,1,20,149
2,83,1,4,129
1,8,0,27,45
1,2,0,1,80
1,2,0,3,172
0,54,0,30,57
0,12,0,2,75
0,6,0,4,72
4,134,0,2,53
1,7,1,4,175
0,38,1,3,475
0,54,0,1,35
0,6,0,1,65
0,36,1,2,190
0,12,1,1,139
1,30,0,2,70
3,78,1,6,75
0,21,1,5,250
0,34,0,1,55
0,3,1,1,119
1,28,1,30,148
3,93,1,2,180
0,12,1,6,100
0,6,0,2,69
2,85,0,2,30
2,126,0,1,35
0,16,1,3,150
0,15,0,3,70
3,41,0,2,85
1,19,1,3,350
1,23,0,1,75
3,86,1,1,60
0,12,1,4,165
2,49,1,2,130
1,8,1,13,110
2,39,1,3,110
0,33,1,5,350
1,23,1,30,110
0,6,0,6,80
1,23,0,4,99
1,43,1,29,232
1,2,1,3,165
1,19,1,4,385
0,15,1,2,125
1,30,1,4,90
1,26,1,2,200
2,56,1,2,150
0,15,1,2,245
1,52,1,1,190
1,50,1,5,650
1,19,0,1,100
3,148,1,10,299
0,12,0,2,80
1,43,1,1,450
0,123,1,2,130
4,128,0,2,49
0,6,1,3,150
1,23,1,1,300
1,26,1,2,128
2,106,1,2,200
1,1,1,30,150
0,67,2,7,25
0,22,0,4,75
0,21,1,2,85
1,8,1,4,399
1,28,1,30,99
1,18,0,4,55
1,7,1,3,471
1,23,1,14,80
0,54,0,30,33
1,2,1,1,80
1,1,0,1,399
2,83,0,1,55
1,14,1,1,400
1,7,1,30,120
0,12,0,2,76
1,8,1,1,120
1,19,1,14,125
0,12,0,3,140
1,2,0,1,89
0,79,0,1,59
1,4,0,5,100
0,21,0,1,70
0,10,1,30,110
1,14,1,1,75
1,43,1,29,142
0,21,0,1,60
0,21,0,4,50
1,5,1,5,110
1,2,1,1,140
0,12,1,7,275
2,46,1,1,100
1,30,0,1,52
1,7,2,1,85
0,6,0,1,60
2,56,0,1,65
0,20,1,5,500
0,21,0,1,55
1,71,1,30,239
1,28,1,30,149
0,32,1,3,100
1,1,1,2,290
1,28,1,30,200
0,147,0,4,57
1,4,0,3,85
3,41,1,2,68
1,2,1,21,125
1,30,0,3,55
1,14,0,6,90
1,11,0,1,100
0,15,1,2,278
0,3,0,1,69
0,22,0,5,55
1,8,1,2,228
1,2,1,2,150
0,22,0,1,50
0,10,0,1,80
1,30,0,1,70
1,2,1,4,199
0,12,1,4,125
2,49,1,5,85
1,1,1,1,180
0,12,0,2,79
0,22,0,3,55
1,8,1,30,101
0,21,1,2,218
1,2,1,6,135
